CATEGORY,TITLE,SYSTEM,FREQ,SR,MOD,RADIO,ENC,PIDS,TRACKS
"ZDFvision","zdf_neo","dvbc",450000,6900,"256qam",0,0,"P650:660:680:670:671:672:675","A670:671:672:675"
"ZDFvision","zdf.kultur","dvbc",450000,6900,"256qam",0,0,"P1100:1110:1130:1120:1121:1122:1125","A1120:1121:1122:1125"
"ARD","rbb Berlin","dvbc",458000,6900,"256qam",0,0,"P600:601:604:602:603","A602:603"
"ARD","NDR FS MV","dvbc",458000,6900,"256qam",0,0,"P2400:2401:2404:2402:2403","A2402:2403"
"ARD","MDR Sachsen","dvbc",458000,6900,"256qam",0,0,"P2800:2801:2804:2802:2803","A2802:2803"
"Digital Free","NICK/COMEDY CENTRAL","dvbc",466000,6900,"256qam",0,0,"P104:441:444:442","A442"
"Digital Free","VIVA","dvbc",466000,6900,"256qam",0,0,"P116:2941:2944:2942","A2942"
"Digital Free","QVC","dvbc",466000,6900,"256qam",0,0,"P101:2281:2284:2282","A2282"
"Digital Free","DMAX","dvbc",466000,6900,"256qam",0,0,"P115:2291:2294:2292","A2292"
"Digital Free","HSE24","dvbc",466000,6900,"256qam",0,0,"P103:2311:2314:2312","A2312"
"Digital Free","Kabel Digital Info","dvbc",538000,6900,"256qam",0,0,"P104:2741:2742","A2742"
"Digital Free","ANIXE SD","dvbc",538000,6900,"256qam",0,0,"P109:1001:1002","A1002"
"Digital Free","SAT.1 Gold","dvbc",538000,6900,"256qam",0,0,"P112:2431:2434:2432","A2432"
"Digital Free","Astro TV","dvbc",538000,6900,"256qam",0,0,"P101:2241:2242","A2242"
"Digital Free","Joiz!","dvbc",626000,6900,"256qam",0,0,"P103:6421:6422","A6422"
"Digital Free","ProSieben MAXX","dvbc",626000,6900,"256qam",0,0,"P104:6431:6434:6432:6433","A6432:6433"
"Digital Free","Deutsches Musikfernsehen","dvbc",626000,6900,"256qam",0,0,"P109:6501:6502","A6502"
