CATEGORY,TITLE,SYSTEM,FREQ,SR,POL/MOD,RADIO,ENC,PIDS,TRACKS
"ARD","Einsfestival HD","dvbs2",11052,22000,"h",0,0,"P5410:5411:5414:5412:5413:5416","A5412:5413:5416"
"ARD","EinsPlus HD","dvbs2",11052,22000,"h",0,0,"P5420:5421:5424:5422:5423:5426","A5422:5423:5426"
"Telefonica Servicios Audiovisuales","TELESUR","dvbs",11067,22000,"v",0,0,"P35:2101:2102","A2102"
"TSA","TBN Enlace","dvbs",11067,22000,"v",0,0,"P1802:8002:8102","A8102"
"TSA","TVGA","dvbs",11067,22000,"v",0,0,"P39:1701:53:1702","A1702"
"TSA","I24 NEWS","dvbs",11067,22000,"v",0,0,"P1824:1081:1082","A1082"
"Telefonica Servicios Audiovisuales","ASTRA SEXY SAT 1","dvbs",11067,22000,"v",0,0,"P41:1901:1902","A1902"
"DIGITAL+","C+ MULTI-X","dvbs2",11097,22000,"v",0,0,"P1024:167:108:109:110","A108:109:110"
"DIGITAL+","MULTI-X","dvbs2",11097,22000,"v",0,0,"P1039:174:136:137","A136:137"
"DIGITAL+","MULTI-X","dvbs2",11097,22000,"v",0,0,"P1037:165:100:101","A100:101"
"DIGITAL+","MULTI-X","dvbs2",11097,22000,"v",0,0,"P1040:176:144:145","A144:145"
".",".","dvbs2",11111,22000,"h",0,0,"P","A"
".",".","dvbs2",11111,22000,"h",0,0,"P","A"
".",".","dvbs2",11111,22000,"h",0,0,"P","A"
".",".","dvbs2",11111,22000,"h",0,0,"P","A"
".",".","dvbs",11112,22000,"h",0,0,"P","A"
".",".","dvbs",11112,22000,"h",0,0,"P","A"
".",".","dvbs",11112,22000,"h",0,0,"P","A"
".",".","dvbs",11112,22000,"h",0,0,"P","A"
"Unknown","Service 30505","dvbs",11156,22000,"v",0,0,"P1029:166:50:104:105","A104:105"
"PRISA TV","FASHION TV","dvbs",11156,22000,"v",0,0,"P1034:165:100","A100"
"Unknown","Service 30517","dvbs",11156,22000,"v",0,0,"P1041:166:50:104:105","A104:105"
"SKY","Sky INFO","dvbs2",11170,22000,"h",0,0,"P97:511:32:515","A515"
"SKY","Sky INFO","dvbs",11171,22000,"h",0,0,"P97:511:32:515","A515"
"SES ASTRA","TV TRWAM","dvbs2",11186,21666,"v",0,0,"P8020:33:273:3606","A3606"
"SES ASTRA","BVN TV","dvbs2",11186,21666,"v",0,0,"P2116:525:40:122","A122"
"SES ASTRA","TV TRWAM","dvbs",11185,22000,"v",0,0,"P8020:33:273:3606","A3606"
"SES ASTRA","BVN TV","dvbs",11185,22000,"v",0,0,"P2116:525:40:122","A122"
"~","Volksmusik","dvbs",11243,22000,"h",0,0,"P222:2220:2221","A2221"
"ORS","Bibel TV HD","dvbs",11243,22000,"h",0,0,"P224:2240:2245:2241","A2241"
"~","Schau TV","dvbs",11243,22000,"h",0,0,"P225:2250:2255:2251","A2251"
"~","Starparadies AT","dvbs",11243,22000,"h",0,0,"P226:2260:2261","A2261"
"~","DAF Neu","dvbs",11243,22000,"h",0,0,"P227:2270:2271","A2271"
"ORS","MELODIE TV","dvbs",11243,22000,"h",0,0,"P229:2290:2291","A2291"
"ORS","Service 13230","dvbs",11243,22000,"h",0,0,"P230","A"
"ORS","Service 13231","dvbs",11243,22000,"h",0,0,"P231","A"
"ORS","Service 13232","dvbs",11243,22000,"h",0,0,"P232","A"
"ORS","Service 13233","dvbs",11243,22000,"h",0,0,"P233","A"
"ORF","flimmit","dvbs2",11273,22000,"h",0,0,"P310:3100","A"
"ORF","Aristo.TV","dvbs2",11273,22000,"h",0,0,"P311:3110:3111","A3111"
"ServusTV","ServusTV HD Oesterreich","dvbs2",11302,22000,"h",0,0,"P109:3583:3588:3584:3585:3587:3589","A3584:3585:3587:3589"
"ServusTV","ServusTV HD Deutschland","dvbs2",11302,22000,"h",0,0,"P110:4920:4925:4921:4922:4924:4926","A4921:4922:4924:4926"
"ServusTV","PVoD","dvbs2",11302,22000,"h",0,0,"P111","A"
"ZDFvision","3sat HD","dvbs2",11347,22000,"v",0,0,"P6500:6510:6530:6520:6521:6523:6522","A6520:6521:6523:6522"
"ZDFvision","KiKA HD","dvbs2",11347,22000,"v",0,0,"P6600:6610:6630:6620:6621:6622","A6620:6621:6622"
"ZDFvision","ZDFinfo HD","dvbs2",11347,22000,"v",0,0,"P6700:6710:6730:6720:6721:6723:6722","A6720:6721:6723:6722"
"ZDFvision","ZDF HD","dvbs2",11361,22000,"h",0,0,"P6100:6110:6130:6120:6121:6123:6122","A6120:6121:6123:6122"
"ZDFvision","zdf_neo HD","dvbs2",11361,22000,"h",0,0,"P6300:6310:6330:6320:6321:6323:6322","A6320:6321:6323:6322"
"ZDFvision","zdf.kultur HD","dvbs2",11361,22000,"h",0,0,"P6400:6410:6430:6420:6421:6423:6422","A6420:6421:6423:6422"
"GlobeCast","RT HD","dvbs2",11376,22000,"v",0,0,"P1010:1011:1012:1013","A1012:1013"
"GLOBECAST","RT Esp HD","dvbs2",11376,22000,"v",0,0,"P1020:1021:1022:1023","A1022:1023"
"GLOBECAST","RT Esp HD","dvbs2",11376,22000,"v",0,0,"P1120:1021:1022:1023","A1022:1023"
"BetaDigital","RTL 2 CH","dvbs",11391,22000,"h",0,0,"P96:255:32:256","A256"
"BetaDigital","Fashion Television","dvbs",11420,22000,"h",0,0,"P103:2047:2048","A2048"
"BetaDigital","SOPHIA TV","dvbs",11420,22000,"h",0,0,"P108:3327:3328","A3328"
"BetaDigital","Die Neue Zeit TV","dvbs",11420,22000,"h",0,0,"P109:3583:3584","A3584"
"BetaDigital","Club-Hot TV","dvbs",11420,22000,"h",0,0,"P117:479:3807:480","A480"
"BetaDigital","6Live 24 TV","dvbs",11420,22000,"h",0,0,"P121:1503:1504","A1504"
"BetaDigital","Reife Damen TV","dvbs",11420,22000,"h",0,0,"P122:1759:3807:1760","A1760"
"BetaDigital","Lust und Liebe TV","dvbs",11420,22000,"h",0,0,"P126:2783:2784","A2784"
"BetaDigital","Telefonchat-24 TV","dvbs",11420,22000,"h",0,0,"P130:3807:3808","A3808"
"BetaDigital","Beate Uhse Sexy-Sat","dvbs",11420,22000,"h",0,0,"P133:751:3807:752","A752"
"BetaDigital","Hot Girls TV","dvbs",11420,22000,"h",0,0,"P135:1263:3807:1264","A1264"
"BetaDigital","GayBoys LIVE","dvbs",11420,22000,"h",0,0,"P138:2031:2032","A2032"
"BetaDigital",".","dvbs",11420,22000,"h",0,0,"P","A"
"BetaDigital",".","dvbs",11420,22000,"h",0,0,"P","A"
"BetaDigital",".","dvbs",11420,22000,"h",0,0,"P","A"
"BetaDigital",".","dvbs",11420,22000,"h",0,0,"P","A"
"BetaDigital",".","dvbs",11420,22000,"h",0,0,"P","A"
"BetaDigital",".","dvbs",11420,22000,"h",0,0,"P","A"
"BetaDigital","SES 05","dvbs",11420,22000,"h",0,0,"P","A"
"BetaDigital",".","dvbs",11420,22000,"h",0,0,"P","A"
"BetaDigital","SES 06","dvbs",11420,22000,"h",0,0,"P","A"
"BetaDigital","SES 07","dvbs",11420,22000,"h",0,0,"P","A"
"BetaDigital","SES 09","dvbs",11420,22000,"h",0,0,"P","A"
"BetaDigital","SES 10","dvbs",11420,22000,"h",0,0,"P","A"
"BetaDigital",".","dvbs",11420,22000,"h",0,0,"P","A"
"BetaDigital",".","dvbs",11420,22000,"h",0,0,"P","A"
"BetaDigital",".","dvbs",11420,22000,"h",0,0,"P","A"
"BetaDigital",".","dvbs",11420,22000,"h",0,0,"P","A"
"BetaDigital",".","dvbs",11420,22000,"h",0,0,"P","A"
"BetaDigital",".","dvbs",11420,22000,"h",0,0,"P","A"
"BetaDigital",".","dvbs",11420,22000,"h",0,0,"P","A"
"BetaDigital",".","dvbs",11420,22000,"h",0,0,"P","A"
"BetaDigital",".","dvbs",11420,22000,"h",0,0,"P","A"
"BetaDigital",".","dvbs",11420,22000,"h",0,0,"P","A"
"BetaDigital",".","dvbs",11420,22000,"h",0,0,"P","A"
"BetaDigital",".","dvbs",11420,22000,"h",0,0,"P","A"
"BetaDigital",".","dvbs",11420,22000,"h",0,0,"P","A"
"BetaDigital",".","dvbs",11420,22000,"h",0,0,"P","A"
"BetaDigital",".","dvbs",11420,22000,"h",0,0,"P","A"
"CSAT","OFFRES CANAL READY","dvbs",11479,22000,"v",0,0,"P1284:164:96","A96"
"ARD","Das Erste HD","dvbs2",11493,22000,"h",0,0,"P5100:5101:5104:5102:5103:5106","A5102:5103:5106"
"ARD","arte HD","dvbs2",11493,22000,"h",0,0,"P5110:5111:5114:5112:5113:5116:5117","A5112:5113:5116:5117"
"ARD","SWR BW HD","dvbs2",11493,22000,"h",0,0,"P5120:5121:5124:5122:5123:5126","A5122:5123:5126"
"ARD","SWR RP HD","dvbs2",11493,22000,"h",0,0,"P5130:5121:5134:5122:5123:5126","A5122:5123:5126"
"Orange TV","SSU Samsung","dvbs",11508,22000,"v",0,0,"P705","A"
"GLOBECAST","Cubavision Internacional","dvbs",11508,22000,"v",0,0,"P758:708:728","A728"
"GLOBECAST","Al Jazeera Channel","dvbs",11508,22000,"v",0,0,"P759:709:729","A729"
"GLOBECAST","RedeRecord","dvbs",11508,22000,"v",0,0,"P760:710:730","A730"
"GLOBECAST","Arirang TV","dvbs",11508,22000,"v",0,0,"P761:711:731","A731"
"GlobeCast","Al Jazeera English","dvbs",11508,22000,"v",0,0,"P762:712:732","A732"
"GlobeCast","RT Esp","dvbs",11508,22000,"v",0,0,"P1250:1450:1550","A1550"
"GLOBECAST","NHK World TV","dvbs",11508,22000,"v",0,0,"P764:714:734","A734"
"BetaDigital","a.tv","dvbs",11523,22000,"h",0,0,"P96:255:256","A256"
"BetaDigital","Franken Fernsehen","dvbs",11523,22000,"h",0,0,"P97:511:512","A512"
"BetaDigital","intv","dvbs",11523,22000,"h",0,0,"P98:767:768","A768"
"BetaDigital","Ulm-Allgäu","dvbs",11523,22000,"h",0,0,"P99:1023:1024","A1024"
"BetaDigital","münchen.tv","dvbs",11523,22000,"h",0,0,"P100:1279:1280","A1280"
"BetaDigital","rfo Regional Oberbayern","dvbs",11523,22000,"h",0,0,"P101:1535:1536","A1536"
"BetaDigital","Mainfranken","dvbs",11523,22000,"h",0,0,"P102:1791:1792","A1792"
"BetaDigital","TV Oberfranken","dvbs",11523,22000,"h",0,0,"P103:2047:2048","A2048"
"BetaDigital","TVA-OTV","dvbs",11523,22000,"h",0,0,"P104:2303:2304","A2304"
"BetaDigital","Niederbayern","dvbs",11523,22000,"h",0,0,"P105:2559:2560","A2560"
"BetaDigital","Lokal TV Portal","dvbs",11523,22000,"h",0,0,"P144:4607:4608","A4608"
"GLOBECAST","Russia Today","dvbs",11538,22000,"v",0,0,"P654:604:624","A624"
"GLOBECAST","France 24","dvbs",11538,22000,"v",0,0,"P201:605:6701:625","A625"
"GLOBECAST","France 24","dvbs",11538,22000,"v",0,0,"P202:606:6702:626","A626"
"GLOBECAST","France 24","dvbs",11538,22000,"v",0,0,"P660:610:6710:630","A630"
"GLOBECAST","CCTV9 Documentary","dvbs",11538,22000,"v",0,0,"P662:612:632","A632"
"GLOBECAST","CCTV F","dvbs",11538,22000,"v",0,0,"P663:613:633","A633"
"GLOBECAST","CCTV NEWS","dvbs",11538,22000,"v",0,0,"P664:614:634","A634"
"GlobeCast","TV5MONDE EUROPE","dvbs",11538,22000,"v",0,0,"P665:615:835:635","A635"
"ARD","BR Süd HD","dvbs2",11582,22000,"h",0,0,"P5200:5201:5204:5202:5203:5206","A5202:5203:5206"
"ARD","BR Nord HD","dvbs2",11582,22000,"h",0,0,"P5210:5201:5204:5202:5203:5206","A5202:5203:5206"
"ARD","NDR FS NDS HD","dvbs2",11582,22000,"h",0,0,"P5220:5221:5224:5222:5223:5226","A5222:5223:5226"
"ARD","NDR FS MV HD","dvbs2",11582,22000,"h",0,0,"P5230:5221:5224:5222:5223:5226","A5222:5223:5226"
"ARD","NDR FS HH HD","dvbs2",11582,22000,"h",0,0,"P5240:5221:5224:5222:5223:5226","A5222:5223:5226"
"ARD","NDR FS SH HD","dvbs2",11582,22000,"h",0,0,"P5250:5221:5224:5222:5223:5226","A5222:5223:5226"
"ARD","PHOENIX HD","dvbs2",11582,22000,"h",0,0,"P5260:5261:5264:5262:5263","A5262:5263"
"CNBC","CNBC Europe","dvbs",11597,22000,"v",0,0,"P1838:307:308","A308"
"BBC","BBC World","dvbs",11597,22000,"v",0,0,"P1858:163:92","A92"
"Groupe M6","M6 BOUTIQUE LA CHAINE","dvbs",11597,22000,"v",0,0,"P1100:1120:130","A130"
"Bloomberg TV","Bloomberg Europe TV","dvbs",11597,22000,"v",0,0,"P1090:1360:1320","A1320"
"SES ASTRA","Sonlife Broadcasting Network","dvbs",11597,22000,"v",0,0,"P1050:1051:1052:1053","A1052:1053"
"TDA","Algerie 3","dvbs",11597,22000,"v",0,0,"P256:514:670","A670"
"TDA","Canal Algerie","dvbs",11597,22000,"v",0,0,"P257:515:680","A680"
"SES ASTRA","ASTRA 3D demo","dvbs",11611,22000,"h",0,0,"P32:33:36","A36"
"SES ASTRA","TRT Turk","dvbs",11611,22000,"h",0,0,"P45:2011:2016:4004","A4004"
"Sitcom","ALICE","dvbs",11611,22000,"h",0,0,"P129:2064:2068","A2068"
"Unknown","TURKSHOW TV","dvbs",11611,22000,"h",0,0,"P1100:1101:1102","A1102"
"RTVE","TVE INTERNACIONAL EUROPA","dvbs",11626,22000,"v",0,0,"P3520:3521:3525:3522:3527","A3522:3527"
"RTVE","CANAL 24 HORAS","dvbs",11626,22000,"v",0,0,"P3568:3569:3575:3570:3571","A3570:3571"
"SES","CNN Int.","dvbs",11626,22000,"v",0,0,"P3946:165:100","A100"
"BetaDigital","TWOJ","dvbs",11641,22000,"h",0,0,"P96:255:256","A256"
"ProSiebenSat.1","SAT.1 Gold Österreich","dvbs2",11670,22000,"h",0,0,"P106:2815:42:2816","A2816"
"ProSiebenSat.1","Pro7 MAXX Austria","dvbs2",11670,22000,"h",0,0,"P107:3071:43:3072","A3072"
"ProSiebenSat.1",".","dvbs2",11670,22000,"h",0,0,"P","A"
"DIGITAL+","C+ DEP 2 HD","dvbs",11685,22000,"v",0,0,"P1026:175","A"
"PRISA TV","YOMVI","dvbs",11685,22000,"v",0,0,"P1027:163:254:92","A254:92"
"Unknown","Service 30205","dvbs",11685,22000,"v",0,0,"P1052:166:104","A104"
"Unknown","Service 30213","dvbs",11685,22000,"v",0,0,"P1032:175","A"
"PRISA TV","AXN WHITE HD","dvbs",11685,22000,"v",0,0,"P1033:175","A"
"DIGITAL+","MEZZO LIVEHD","dvbs",11685,22000,"v",0,0,"P1037:175","A"
"Unknown","Service 30216","dvbs",11685,22000,"v",0,0,"P1039:175","A"
"CANAL+","NICKELODEONHD","dvbs",11685,22000,"v",0,0,"P1050:175","A"
"DIGITAL+","C+ LIGA HD","dvbs",11685,22000,"v",0,0,"P1040:175","A"
"DIGITAL+","CANAL+1 HD","dvbs",11685,22000,"v",0,0,"P1041:175","A"
"DIGITAL+","C+ ACCIÓN HD","dvbs",11685,22000,"v",0,0,"P1042:175","A"
"DIGITAL+","C+COMEDIA HD","dvbs",11685,22000,"v",0,0,"P1043:175","A"
"DIGITAL+","C+ DCINE HD","dvbs",11685,22000,"v",0,0,"P1044:175","A"
"DIGITAL+","C+XTRA HD","dvbs",11685,22000,"v",0,0,"P1045:175","A"
"Unknown","Service 30231","dvbs",11685,22000,"v",0,0,"P1046:175","A"
"DIGITAL+","C+ FÚTBOL HD","dvbs",11685,22000,"v",0,0,"P1047:175","A"
"DIGITAL+","C+ DEPORT HD","dvbs",11685,22000,"v",0,0,"P1048:175","A"
"PRISA TV","RTESPAÑOL HD","dvbs",11685,22000,"v",0,0,"P1049:175","A"
"DIGITAL+","CALLE 13 HD","dvbs",11685,22000,"v",0,0,"P1055:175","A"
"DIGITAL+","FOX HD","dvbs",11685,22000,"v",0,0,"P1056:175","A"
"DIGITAL+","AXN HD","dvbs",11685,22000,"v",0,0,"P1057:175","A"
"DIGITAL+","NAT GEO HD","dvbs",11685,22000,"v",0,0,"P1058:175","A"
"PRISA TV","COMEDYCENTRALHD","dvbs",11685,22000,"v",0,0,"P1059:175","A"
"DIGITAL+","MEZZO LIVEHD","dvbs",11685,22000,"v",0,0,"P1060:175","A"
"DIGITAL+","CANAL+ 3D","dvbs",11685,22000,"v",0,0,"P1061:175","A"
"DIGITAL+","TAQUILLA HD","dvbs",11685,22000,"v",0,0,"P1062:175","A"
"DIGITAL+","VIAJAR HD","dvbs",11685,22000,"v",0,0,"P1063:175","A"
"DIGITAL+","COSMO HD","dvbs",11685,22000,"v",0,0,"P1064:175","A"
"DIGITAL+","HOLLYWOOD HD","dvbs",11685,22000,"v",0,0,"P1065:175","A"
"DIGITAL +","TNT HD","dvbs",11685,22000,"v",0,0,"P1066:175","A"
"DIGITAL+","NG WILD HD","dvbs",11685,22000,"v",0,0,"P1067:175","A"
"DIGITAL+","SYFY HD","dvbs",11685,22000,"v",0,0,"P1068:175","A"
"DIGITAL+","DISNEY CH HD","dvbs",11685,22000,"v",0,0,"P1069:175","A"
"PRISATV","C+LCAMPEON2","dvbs",11685,22000,"v",0,0,"P1070:175","A"
"PRISATV","C+LCAMPEONES","dvbs",11685,22000,"v",0,0,"P1071:175","A"
"PRISA TV","C+L.MULTI HD","dvbs",11685,22000,"v",0,0,"P1072:175","A"
"PRISA TV","TAQUILLA HD2","dvbs",11685,22000,"v",0,0,"P1073:175","A"
"PRISA TV","FOX LIFE HD","dvbs",11685,22000,"v",0,0,"P1074:175","A"
"PRISA TV","C+LCAMPEON3","dvbs",11685,22000,"v",0,0,"P1075:175","A"
"PRISA TV","C+ GOLF HD","dvbs",11685,22000,"v",0,0,"P1076:175","A"
"PRISA TV","CANAL+ 2 HD","dvbs",11685,22000,"v",0,0,"P1077:175","A"
"DIGITAL+","C+ XTRA HD","dvbs",11685,22000,"v",0,0,"P1078:175","A"
"Unknown","TCM HD","dvbs",11685,22000,"v",0,0,"P1079:175","A"
"PRISA TV","C+ SERIES HD","dvbs",11685,22000,"v",0,0,"P1080:175","A"
"MTV Networks Europe","VH1.","dvbs",11739,27500,"v",0,0,"P341:3061:8190:3062","A3062"
"MTV Networks Europe","VH1 Classic.","dvbs",11739,27500,"v",0,0,"P327:3071:8190:3072","A3072"
"MTV Networks Europe","Test Channel 1","dvbs",11739,27500,"v",0,0,"P","A"
"CNN","CNN Int.","dvbs",11778,27500,"v",0,0,"P3946:165:100","A100"
"ARD","Das Erste","dvbs",11836,27500,"h",0,0,"P100:101:104:102:103:106","A102:103:106"
"ARD","Bayerisches FS Süd","dvbs",11836,27500,"h",0,0,"P200:201:204:202:203:206","A202:203:206"
"ARD","hr-fernsehen","dvbs",11836,27500,"h",0,0,"P300:301:304:302:303","A302:303"
"ARD","Bayerisches FS Nord","dvbs",11836,27500,"h",0,0,"P500:201:204:202:203:206","A202:203:206"
"ARD","WDR Köln","dvbs",11836,27500,"h",0,0,"P600:601:604:602:603","A602:603"
"ARD","SWR Fernsehen BW","dvbs",11836,27500,"h",0,0,"P800:801:804:802:803:806","A802:803:806"
"CSAT","iTELE","dvbs",11856,27500,"v",0,0,"P200:210:241:221","A221"
"CSAT","iTELE","dvbs",11856,27500,"v",0,0,"P201:210:241:221","A221"
"CSAT","CANAL+ DECALE","dvbs",11895,27500,"v",0,0,"P500:510:541:521:522","A521:522"
"CSAT","Service 8361","dvbs",11895,27500,"v",0,0,"P1700","A"
"CSAT","D17","dvbs",11934,27500,"v",0,0,"P400:410:441:421:422","A421:422"
"CSAT","TV5MONDE","dvbs",11934,27500,"v",0,0,"P1000:1010:1041:1021","A1021"
"CSAT","D17","dvbs",11934,27500,"v",0,0,"P401:410:441:421:422","A421:422"
"ZDFvision","ZDF","dvbs",11953,27500,"h",0,0,"P100:110:130:120:121:122:125","A120:121:122:125"
"ZDFvision","3sat","dvbs",11953,27500,"h",0,0,"P200:210:230:220:221:222:225","A220:221:222:225"
"ZDFvision","KiKA","dvbs",11953,27500,"h",0,0,"P300:310:330:320:321:325","A320:321:325"
"ZDFvision","ZDFinfo","dvbs",11953,27500,"h",0,0,"P600:610:630:620:621:622:625","A620:621:622:625"
