CATEGORY,TITLE,SYSTEM,FREQ,SR,POL,RADIO,ENC,PIDS,TRACKS
"GlobeCast","Al Jazeera Intl","dvbs",11034,27500,"v",0,0,"P1400:1420:1430","A1430"
"GlobeCast","SHANT TV","dvbs",11034,27500,"v",0,0,"P700:720:710:730","A730"
"MEDIA BROADCAST","RTL 2 CH","dvbs",11054,27500,"h",0,0,"P400:410:440:420","A420"
"MEDIA BROADCAST","ZDF","dvbs",11054,27500,"h",0,0,"P1033:570:572:571","A571"
"MEDIA BROADCAST","nex1","dvbs",11054,27500,"h",0,0,"P2000:2010:2020","A2020"
"MEDIA BROADCAST","Persian Star 2","dvbs",11054,27500,"h",0,0,"P2100:2110:2120","A2120"
"MEDIA BROADCAST","MI-TV","dvbs",11054,27500,"h",0,0,"P56:57:58","A58"
"MEDIA BROADCAST","Al Beladi TV","dvbs",11054,27500,"h",0,0,"P2700:2710:2720","A2720"
"MEDIA BROADCAST","IRAN-FMTV","dvbs",11054,27500,"h",0,0,"P3000:3010:3020","A3020"
"MEDIA BROADCAST","MB SmartCast Test 2","dvbs",11054,27500,"h",0,0,"P3100:3110:3120","A3120"
"MEDIA BROADCAST","TMTV","dvbs",11054,27500,"h",0,0,"P3200:3210:3220","A3220"
"MEDIA BROADCAST","IRAN-MNTV","dvbs",11054,27500,"h",0,0,"P3500:3510:3520","A3520"
"MEDIA BROADCAST","Iran Music","dvbs",11054,27500,"h",0,0,"P3600:3610:3620","A3620"
"MEDIA BROADCAST","MB SmartCast Test 1","dvbs",11054,27500,"h",0,0,"P3900:3910:3920","A3920"
"MEDIA BROADCAST","4","dvbs",11054,27500,"h",0,0,"P4400:4410:4420","A4420"
"MEDIA BROADCAST","Persian Star 1","dvbs",11054,27500,"h",0,0,"P4900:4910:4920","A4920"
"Globecast UK","R1","dvbs",11117,27500,"v",0,0,"P6698:6601:6611","A6611"
"GlobeCast UK","Loveworld","dvbs",11117,27500,"v",0,0,"P6598:6501:6511","A6511"
"GlobeCast UK","CNBC PE Hot","dvbs",11117,27500,"v",0,0,"P6998:6901:6999:6911","A6911"
"Arqiva","Bloomberg European TV","dvbs",11137,27500,"h",0,0,"P265:3502:3582:3622","A3622"
"Arqiva","ITN","dvbs",11137,27500,"h",0,0,"P263:3503:3623","A3623"
"Arqiva","TV5MONDE FBS","dvbs",11137,27500,"h",0,0,"P717:3521:3601:3641","A3641"
"Arqiva","TV5MONDE EUROPE","dvbs",11137,27500,"h",0,0,"P719:3522:3602:3642","A3642"
"Arqiva","Kurdistan TV","dvbs",11137,27500,"h",0,0,"P258:3526:3646","A3646"
"Arqiva","NHK World","dvbs",11137,27500,"h",0,0,"P259:3527:3647","A3647"
"Arqiva","GEM TV","dvbs",11137,27500,"h",0,0,"P33:3533:3653","A3653"
"Arqiva","AB Channel","dvbs",11137,27500,"h",0,0,"P274:3534:3614:3654","A3654"
"Arqiva","SRI TV","dvbs",11137,27500,"h",0,0,"P275:3535:3655","A3655"
"Arqiva","Fadak TV","dvbs",11137,27500,"h",0,0,"P281:3541:3661","A3661"
"Arqiva","Wesal TV","dvbs",11137,27500,"h",0,0,"P282:3542:3662","A3662"
"Ariva","Gioielli per Tutti","dvbs",11137,27500,"h",0,0,"P283:3543:3663","A3663"
"Arqiva","IRAN B MARZ","dvbs",11137,27500,"h",0,0,"P285:3545:3665","A3665"
"Telespazio","Al Malakoot","dvbs",11179,27500,"h",0,0,"P1051:161:162","A162"
"Telespazio","Al Karma TV-ME","dvbs",11179,27500,"h",0,0,"P1052:640:625","A625"
"Harmonic","Channel  One Tv","dvbs",11179,27500,"h",0,0,"P165:166:167","A167"
"Telespazio","TELEPADREPIO","dvbs",11179,27500,"h",0,0,"P1070:650:651","A651"
"Telespazio","Informazione TV","dvbs",11179,27500,"h",0,0,"P1015:620:621","A621"
"Telespazio","Made in Italy 1","dvbs",11179,27500,"h",0,0,"P1016:1490:1491","A1491"
"Telespazio","GBR","dvbs",11179,27500,"h",0,0,"P1049:710:711","A711"
"Telespazio","CTV AP","dvbs",11179,27500,"h",0,0,"P1551:554:564","A564"
"Telespazio","STERK TV","dvbs",11179,27500,"h",0,0,"P1724:821:822","A822"
"Telespazio","TRSP","dvbs",11179,27500,"h",0,0,"P1053:630:631","A631"
"Telespazio","Telemarket","dvbs",11179,27500,"h",0,0,"P1055:770:771","A771"
"Telespazio","ERDE UND MENSCH","dvbs",11179,27500,"h",0,0,"P1056:780:781","A781"
"Harmonic","Made in Italy","dvbs",11179,27500,"h",0,0,"P1057:1490:1491","A1491"
"Telespazio","Kanal Hayat","dvbs",11179,27500,"h",0,0,"P1089:530:531","A531"
"Telespazio","Payam-E-Afghan","dvbs",11179,27500,"h",0,0,"P1081:540:541","A541"
"Harmonic","RTA","dvbs",11179,27500,"h",0,0,"P1083:560:561","A561"
"Telespazio","Armenia TV","dvbs",11179,27500,"h",0,0,"P1084:570:571","A571"
"Telespazio","ACM Channel","dvbs",11179,27500,"h",0,0,"P1085:340:341","A341"
"Telespazio","Marjaeyat","dvbs",11179,27500,"h",0,0,"P1063:580:581","A581"
"Telespazio","Kentron Tv","dvbs",11179,27500,"h",0,0,"P1065:2018:3018","A3018"
"Telespazio","Khatereh","dvbs",11179,27500,"h",0,0,"P1041:512:612","A612"
"Telespazio","Ronahi TV","dvbs",11179,27500,"h",0,0,"P1725:725:726","A726"
"Telespazio","Daring tv! 133","dvbs",11179,27500,"h",0,0,"P1761","A"
"RRSat","Pro TV International","dvbs",11200,27500,"v",0,0,"P1001:2001:3001","A3001"
"RRSat","AL FAYHAA","dvbs",11200,27500,"v",0,0,"P270:271:272","A272"
"RRSat","Mohabat","dvbs",11200,27500,"v",0,0,"P372:370:371","A371"
"RRSat","CGN","dvbs",11200,27500,"v",0,0,"P1004:2004:3004","A3004"
"RRSat","Gali Kurdistan TV","dvbs",11200,27500,"v",0,0,"P1005:2005:3005:4005","A3005:4005"
"RRSat","MTA International","dvbs",11200,27500,"v",0,0,"P2560:366:367","A367"
"RRSat","Dieu TV","dvbs",11200,27500,"v",0,0,"P542:540:541","A541"
"RRSat","CBC TV","dvbs",11200,27500,"v",0,0,"P1008:2008:3008","A3008"
"RRSat","AZTV","dvbs",11200,27500,"v",0,0,"P1009:2009:3009","A3009"
"RRSat","SonLife Broadcasting Network","dvbs",11200,27500,"v",0,0,"P1015:2015:3015","A3015"
"RRSat","Eurotic TV","dvbs",11200,27500,"v",0,0,"P411:412:413","A413"
"RRSat","Belarus TV","dvbs",11200,27500,"v",0,0,"P1022:2022:3022","A3022"
"RRSat","Movie1","dvbs",11200,27500,"v",0,0,"P1026:2026:3026","A3026"
"RRSat","Altarek - The Way TV","dvbs",11200,27500,"v",0,0,"P1050:2050:3050","A3050"
"RRsat","Somaliland National TV","dvbs",11200,27500,"v",0,0,"P1055:2055:3055","A3055"
"RRSat","Suryoyo Sat","dvbs",11200,27500,"v",0,0,"P1060:2060:3060","A3060"
"RRSat","GUNAZ TV","dvbs",11200,27500,"v",0,0,"P1063:2063:3063","A3063"
"RRSat","Rainbow","dvbs",11200,27500,"v",0,0,"P1066:2066:3066","A3066"
"RRSat","negah e shoma","dvbs",11200,27500,"v",0,0,"P1067:2067:3067","A3067"
"RRSat","PNTV","dvbs",11200,27500,"v",0,0,"P1068:2068:3068","A3068"
"RRSat","World Fashion Channel","dvbs",11200,27500,"v",0,0,"P1069:2069:3069","A3069"
"TandbergTV","Cancao Nova","dvbs",11240,27500,"v",0,0,"P1050:720:721","A721"
"Eutelsat","France 24","dvbs",11240,27500,"v",0,0,"P244:245:246","A246"
"Eutelsat","France 24","dvbs",11240,27500,"v",0,0,"P247:248:249","A249"
"Eutelsat","A3","dvbs",11240,27500,"v",0,0,"P3940:3941:3942","A3942"
"Unknown","Canal Algerie","dvbs",11240,27500,"v",0,0,"P3950:3951:3952","A3952"
"Al Jazeera","JSC Sports Global","dvbs",11296,27500,"h",0,0,"P252:6302:6303:6305","A6303:6305"
"Arqiva","T.TV","dvbs",11317,27500,"v",0,0,"P124:1024:1224","A1224"
"Arqiva","Marjaeyat","dvbs",11317,27500,"v",0,0,"P125:1025:1225","A1225"
"Arqiva","AVA MOVIE","dvbs",11317,27500,"v",0,0,"P126:1026:1226","A1226"
"Arqiva","Rudaw","dvbs",11317,27500,"v",0,0,"P127:1027:1227:1327","A1227:1327"
"Arqiva","Russia Today","dvbs",11317,27500,"v",0,0,"P129:1029:1229","A1229"
"Arqiva","Imam Hussein 3","dvbs",11317,27500,"v",0,0,"P130:1030:1230","A1230"
"Arqiva","Russia Al-Yaum","dvbs",11317,27500,"v",0,0,"P132:1032:1232","A1232"
"Arqiva","Perspolis TV","dvbs",11317,27500,"v",0,0,"P33:1033:1233","A1233"
"Arqiva","Ghasedak TV","dvbs",11317,27500,"v",0,0,"P135:1035:1235","A1235"
"Arqiva","Tik TV","dvbs",11317,27500,"v",0,0,"P136:1036:1236","A1236"
"Unknown","Imam Hussein TV","dvbs",11317,27500,"v",0,0,"P137:1037:1237","A1237"
"Arqiva","Baqi TV","dvbs",11317,27500,"v",0,0,"P138:1038:1238","A1238"
"Arqiva","Al-Hayat","dvbs",11317,27500,"v",0,0,"P139:1039:1239","A1239"
"Arqiva","Manoto 1","dvbs",11317,27500,"v",0,0,"P150:1050:1250","A1250"
"Harmonic","Pars TV","dvbs",11317,27500,"v",0,0,"P160:1060:1260","A1260"
"Arqiva","Elite Shopping","dvbs",11317,27500,"v",0,0,"P170:1070:1270","A1270"
"Arqiva","Liguria TV","dvbs",11317,27500,"v",0,0,"P171:1071:1271","A1271"
"Arqiva","ASO SAT","dvbs",11317,27500,"v",0,0,"P172:1072:1272","A1272"
"Arqiva","Dance TV","dvbs",11317,27500,"v",0,0,"P173:1073:1273","A1273"
"Arqiva","Roma Sat","dvbs",11317,27500,"v",0,0,"P174:1073:1273","A1273"
"Arqiva","Mondo Shop","dvbs",11317,27500,"v",0,0,"P175:1073:1273","A1273"
"Arqiva","Mare TV","dvbs",11317,27500,"v",0,0,"P176:1073:1273","A1273"
"Arqiva","Dipre Art Channel","dvbs",11317,27500,"v",0,0,"P177:1073:1273","A1273"
"Arqiva","Il Sole","dvbs",11317,27500,"v",0,0,"P191","A"
"ARQIVA","Service-1 HD","dvbs",11334,27500,"h",0,0,"P301:1001:1002","A1002"
"TVN","Eska TV","dvbs",11393,27500,"v",0,0,"P264:516:690","A690"
"TVN","Mango 24","dvbs",11393,27500,"v",0,0,"P265:517:581:700","A700"
"ITI","MANGO 24_","dvbs",11393,27500,"v",0,0,"P288:517:581:700","A700"
"TVN","Upload","dvbs",11393,27500,"v",0,0,"P257","A"
"Satlink","VENETO LINK","dvbs",11471,27500,"v",0,0,"P43:851:852","A852"
"Satlink","Dunamis TV","dvbs",11471,27500,"v",0,0,"P150:151:152","A152"
"Satlink","FUEGO TV","dvbs",11471,27500,"v",0,0,"P1663:1661:1662","A1662"
"Satlink","RETECONOMY","dvbs",11471,27500,"v",0,0,"P49:1801:71","A71"
"Satlink","TELECOLORE","dvbs",11471,27500,"v",0,0,"P70:1811:1812","A1812"
"Satlink","Somali Channel","dvbs",11471,27500,"v",0,0,"P272:273:276","A276"
"Satlink","LA NUOVA TV","dvbs",11471,27500,"v",0,0,"P2180:851:852","A852"
"Harmonic","BLU LIVE","dvbs",11471,27500,"v",0,0,"P44:851:852","A852"
"Satlink","LINK TP 14","dvbs",11471,27500,"v",0,0,"P1650:851:852","A852"
"Satlink","BLU","dvbs",11471,27500,"v",0,0,"P850:851:852","A852"
"Satlink","DIRETTA TV","dvbs",11471,27500,"v",0,0,"P1870:1861:1862","A1862"
"Satlink","Napoli Mia","dvbs",11471,27500,"v",0,0,"P63:520:521","A521"
"Satlink","BLU SHOP","dvbs",11471,27500,"v",0,0,"P1640:851:852","A852"
"Satlink","TELENOVA","dvbs",11471,27500,"v",0,0,"P75:1841:1842","A1842"
"Satlink","I24 News English","dvbs",11471,27500,"v",0,0,"P2040:2041:2042","A2042"
"Satlink","SARSAT TV","dvbs",11471,27500,"v",0,0,"P2158:2143:2142","A2142"
"Satlink","SILVER TV","dvbs",11471,27500,"v",0,0,"P48:1661:1662","A1662"
"Satlink","ONE","dvbs",11471,27500,"v",0,0,"P1755:1756:1757","A1757"
"Satlink","JUSTICE TV","dvbs",11471,27500,"v",0,0,"P243:851:852","A852"
"Satlink","JUST ONE","dvbs",11471,27500,"v",0,0,"P1865:1756:1757","A1757"
"Satlink","Kalsan TV","dvbs",11471,27500,"v",0,0,"P400:401:402","A402"
"Satlink","CIAO SKY 899","dvbs",11471,27500,"v",0,0,"P1860:1861:1862","A1862"
"Satlink","LA9","dvbs",11471,27500,"v",0,0,"P2160:2161:2162","A2162"
"Satlink","FISHING TV","dvbs",11471,27500,"v",0,0,"P50:1745:1746","A1746"
"Satlink","EURSAT","dvbs",11471,27500,"v",0,0,"P1649:1661:1662","A1662"
"Satlink","TVA VICENZA","dvbs",11471,27500,"v",0,0,"P2170:2171:2172","A2172"
"Satlink","SUPERFLUO","dvbs",11471,27500,"v",0,0,"P1710:1861:1862","A1862"
"Satlink","STAR TV","dvbs",11471,27500,"v",0,0,"P140:141:142","A142"
"Satlink","NEW ONE","dvbs",11471,27500,"v",0,0,"P1730:1756:1757","A1757"
"Satlink","I24 News Arabic","dvbs",11471,27500,"v",0,0,"P2050:2051:2052","A2052"
"Satlink","VENUS TV","dvbs",11471,27500,"v",0,0,"P1648:1661:1662","A1662"
"Satlink","SUPER","dvbs",11471,27500,"v",0,0,"P2010:1861:1862","A1862"
"Satlink","ETV","dvbs",11471,27500,"v",0,0,"P130:131:132","A132"
"Satlink","Royal Somali TV","dvbs",11471,27500,"v",0,0,"P83:82:37","A37"
"Satlink","LAZIO CHANNEL","dvbs",11471,27500,"v",0,0,"P73:1661:1662","A1662"
"Satlink","CHAT","dvbs",11471,27500,"v",0,0,"P1800:1861:1862","A1862"
"Satlink","PIU TV","dvbs",11471,27500,"v",0,0,"P1910:1861:1862","A1862"
"Satlink","RETE ASTE","dvbs",11471,27500,"v",0,0,"P72:1831:1832","A1832"
"Satlink","LINK","dvbs",11471,27500,"v",0,0,"P2150:2151:2152","A2152"
"nc+","TV POLONIA","dvbs",11488,27500,"h",0,0,"P1001:160:500:80","A80"
"nc+","TV PULS","dvbs",11488,27500,"h",0,0,"P1042:171:512:124:125","A124:125"
"nc+","TVP Kultura","dvbs",11488,27500,"h",0,0,"P1043:172:513:128","A128"
"nc+","TVS","dvbs",11488,27500,"h",0,0,"P1002:161:508:84","A84"
"nc+","TVP Kultura","dvbs",11488,27500,"h",0,0,"P1013:172:513:128","A128"
"nc+","TV PULS","dvbs",11488,27500,"h",0,0,"P1012:171:512:124:125","A124:125"
"M-Three satcom","QVC","dvbs",11541,22000,"v",0,0,"P102:183:182","A182"
"M-Three satcom","EMPTY SERVICE","dvbs",11541,22000,"v",0,0,"P257","A"
"M-Three satcom","POLO TV","dvbs",11541,22000,"v",0,0,"P3623:6230:6231","A6231"
"M-Three satcom","POLO TV-1","dvbs",11541,22000,"v",0,0,"P3615:6230:6231","A6231"
"M-Three satcom","Romauno","dvbs",11541,22000,"v",0,0,"P3628:6280:6281","A6281"
"M-Three satcom","DAS ERSTE","dvbs",11541,22000,"v",0,0,"P3622:300:302:301","A301"
"TIMB","LA7ondemand","dvbs",11541,22000,"v",0,0,"P363","A"
"TIMB","CUBOVISION","dvbs",11541,22000,"v",0,0,"P3602","A"
"TIMB","HSE24","dvbs",11541,22000,"v",0,0,"P280:6250:6251","A6251"
"TIMB","DMAX","dvbs",11541,22000,"v",0,0,"P250:6270:6272:6271","A6271"
"RRSat","Wesal Haq","dvbs",11566,27500,"h",0,0,"P1014:2014:3014","A3014"
"OVERON","TBN Europe","dvbs",11566,27500,"h",0,0,"P1801:8001:8101","A8101"
"OVERON","TBN ITALIA","dvbs",11566,27500,"h",0,0,"P1803:8103:8003","A8003"
"OVERON","Church Channel","dvbs",11566,27500,"h",0,0,"P1804:8004:8104","A8104"
"OVERON","JCTV","dvbs",11566,27500,"h",0,0,"P1805:8005:8105","A8105"
"Unnamed","EL SHAFAA","dvbs",11566,27500,"h",0,0,"P1806:8006:8106","A8106"
"Overon","TBN Russia","dvbs",11566,27500,"h",0,0,"P1807:8007:8107","A8107"
"OVERON","Smile of a Child","dvbs",11566,27500,"h",0,0,"P1808:8008:8108","A8108"
"TBNFARSI","NEJAT TV","dvbs",11566,27500,"h",0,0,"P1809:8009:8109","A8109"
"Scopus","Pars TV","dvbs",11566,27500,"h",0,0,"P1810:8010:8110","A8110"
"Unknown","Service 811","dvbs",11566,27500,"h",0,0,"P1811:8011:8111","A8111"
"Overon","ChildRussia","dvbs",11566,27500,"h",0,0,"P1813:8013:8113","A8113"
"RRSat","NOOR TV","dvbs",11566,27500,"h",0,0,"P1815:8015:8115","A8115"
"RRSat","Shabakeh7","dvbs",11566,27500,"h",0,0,"P1817:8017:8117","A8117"
"RRSat","UNIVERSAL SOMALI TV","dvbs",11566,27500,"h",0,0,"P1821:8021:8121","A8121"
"RRSAT","Orient","dvbs",11566,27500,"h",0,0,"P1822:8022:8122","A8122"
"PITCOMM","IRAN E ARYAEE TV","dvbs",11566,27500,"h",0,0,"P1823:8023:8123","A8123"
"GlobeCast","Ahl Al Bhait","dvbs",11585,27500,"v",0,0,"P6126:1323:1333","A1333"
"GlobeCast","1+1 International","dvbs",11585,27500,"v",0,0,"P6125:1322:1332","A1332"
"GlobeCast","News 7","dvbs",11585,27500,"v",0,0,"P1227:1527:1528","A1528"
"GlobeCast","DAYSTAR TV","dvbs",11585,27500,"v",0,0,"P1204:1234:1244","A1244"
"GlobeCast",".Viva L'Italia Channel","dvbs",11585,27500,"v",0,0,"P516:1336:1346","A1346"
"GlobeCast","MADE IN ITALY","dvbs",11585,27500,"v",0,0,"P516:1336:1346","A1346"
"GlobeCast","KICC TV","dvbs",11585,27500,"v",0,0,"P601:1481:1482","A1482"
"GlobeCast","Ariana TV","dvbs",11585,27500,"v",0,0,"P506:1361:1362","A1362"
"GlobeCast","TISHK TV","dvbs",11585,27500,"v",0,0,"P1214:1414:1514","A1514"
"GlobeCast","EWTN UK","dvbs",11585,27500,"v",0,0,"P5008:1441:1442","A1442"
"TandbergTV","RBL.TV","dvbs",11585,27500,"v",0,0,"P1211:1411:1511","A1511"
"GLOBECAST","SAFO TV","dvbs",11585,27500,"v",0,0,"P","A"
"GlobeCast","Loveworld TV","dvbs",11585,27500,"v",0,0,"P","A"
"GlobeCast","TV9","dvbs",11585,27500,"v",0,0,"P","A"
"GlobeCast","!FunSpice","dvbs",11585,27500,"v",0,0,"P","A"
"MEDIA BROADCAST","MB SmartCast Test 9","dvbs",11604,27500,"h",0,0,"P500:3910:3920","A3920"
"MEDIA BROADCAST","DW Europe","dvbs",11604,27500,"h",0,0,"P700:1000:1003:1001","A1001"
"MEDIA BROADCAST","Arab-Girls.TV","dvbs",11604,27500,"h",0,0,"P1100:1110:1075:1120","A1120"
"MEDIA BROADCAST","4play games","dvbs",11604,27500,"h",0,0,"P1200:2410:1075:1220","A1220"
"MEDIA BROADCAST","arab-69.tv","dvbs",11604,27500,"h",0,0,"P1400:1075:1076","A1076"
"MEDIA BROADCAST","' ' Hot Arab Sex","dvbs",11604,27500,"h",0,0,"P1600:1080:1075:1081","A1081"
"MEDIA BROADCAST","121 Chat","dvbs",11604,27500,"h",0,0,"P1700:1086:1075:1087","A1087"
"MEDIA BROADCAST","Arab-Jins","dvbs",11604,27500,"h",0,0,"P1800:1090:1075:1091","A1091"
"MEDIA BROADCAST","Love TV","dvbs",11604,27500,"h",0,0,"P1810:1093:1075:1094","A1094"
"MEDIA BROADCAST","Lebnaniat TV.","dvbs",11604,27500,"h",0,0,"P1820:1097:1075:1098","A1098"
"MEDIA BROADCAST","Arab XXX","dvbs",11604,27500,"h",0,0,"P1900:1075:1920","A1920"
"MEDIA BROADCAST","7armanat Nar","dvbs",11604,27500,"h",0,0,"P2000:51:1075:52","A52"
